"","rent","size","lift","balcony","terrace","is_house","slope","highway","rail_stati","sun_eve","X","Y"
"2446",2755,146,1,1,0,0,0.000178,0,1.117,242,684550,252180
"2447",2979,156,1,1,0,0,0.000178,0,1.117,242,684550,252180
"2448",3334,182,1,1,0,0,0.000178,0,1.117,242,684550,252180
"2449",4081,228,1,1,0,0,0.000178,0,1.117,242,684550,252180
"2450",4181,219,1,1,0,0,0.000178,0,1.117,242,684550,252180
"2451",614,24,0,0,0,0,0.02032,0,0.438,270.37,690801,236020
"2452",1785,40,1,1,0,0,0.004183,0,0.408,249.06,683465,247790
"2453",848,27,1,1,0,0,0.004182,0,0.253,199.45,681660,247220
"2454",816,34,0,0,0,0,0.01139,0,1.026,243.56,680060,248810
"2455",721,40,1,1,0,0,0.00534,0,1.369,239.7,685707,251551
"2456",1635,73,0,1,0,0,0.010874,0,0.415,256.97,689658,255311
"2457",1020,58,0,0,0,0,0.108859,0,0.325,105.18,687400,234924
"2458",1525,78,0,0,0,0,0.015412,0,0.28,223.75,683550,251525
"2459",2500,60,0,0,0,0,0.067889,0,0.561,111.68,682105,245855
"2460",1474,50,0,0,0,0,0.002187,0,0.915,219.75,682290,248200
"2461",1730,50,0,1,0,0,0.049299,0,0.813,125.52,682377,243854
"2462",1176,56,0,1,0,0,0.069477,0,0.104,25.65,681430,243600
"2463",1191,48,1,1,0,0,0.009631,0,1.193,247,682790,253625
"2464",1505,66,1,0,0,0,0.038127,0,1.257,315.4,687325,246045
"2465",975,52,0,1,0,0,0.00604,0,1.414,211.72,680245,247985
"2466",1388,60,0,1,0,0,0.004797,0,0.849,224.73,680745,248260
"2467",1300,58,0,1,0,0,0.041969,0,1.517,307.28,679220,251015
"2468",920,49,0,0,0,0,0.002326,0,1.169,220,686095,251260
"2469",1200,60,0,1,0,0,0.013387,0,0.604,199.28,680980,247135
"2470",1385,80,0,1,0,0,0.117984,0,0.608,417.06,689360,237164
"2471",1100,66,0,1,0,0,0.033032,0,0.91,207.95,706207,235227
"2472",1400,60,0,1,0,0,0.177155,0,0.508,506.15,712092,236926
"2473",1670,90,0,0,0,0,0.004522,0,1.207,242,688152,251640
"2474",1400,80,0,0,0,0,0.010775,0,0.461,201.5,681440,247275
"2475",1541,60,0,0,0,0,0.003886,0,0.582,215.41,681945,247880
"2476",1837,70,1,0,0,0,0.010813,0,0.929,261.66,684265,245760
"2477",1310,65,0,0,0,0,0.049638,0,1.31,137.26,677993,249410
"2478",1380,70,0,0,0,0,0.003567,0,0.864,238.25,684250,252755
"2479",1224,72,0,0,0,0,0.095665,0,0.496,65.54,682034,240233
"2480",2120,90,0,0,0,0,0.01967,0,0.771,283.79,689666,253324
"2481",1815,100,0,1,0,0,0.066054,0,0.611,249.71,675274,256907
"2482",1971,80,0,1,0,0,0.081022,0,1.013,270.69,695863,234086
"2483",2830,128,1,1,0,0,0.061466,0,1.522,374.82,678206,243768
"2484",913,72,1,0,0,0,0.005278,0,0.687,254.22,699415,260454
"2485",1900,82,1,0,0,0,0.026289,0,1.1,171.05,678906,248473
"2486",1800,70,0,1,0,0,0.021971,0,0.887,192.02,678476,249173
"2487",1530,80,0,1,0,0,0.058611,0,2.316,295.06,678340,252065
"2488",1167,64,1,1,0,0,0.015566,0,0.859,229.35,683820,253475
"2489",1650,87,0,1,0,0,0.061998,0,1.368,284.04,687585,246165
"2490",1700,90,0,1,0,0,0.04868,0,0.304,300.75,686754,252179
"2491",1800,110,0,0,0,0,0.018409,0,1.164,159.66,682495,243305
"2492",2155,93,0,1,0,0,0.060493,0,0.688,364.7,682975,251355
"2493",1610,90,0,1,0,0,0.066484,0,1.248,347.01,683135,253820
"2494",2100,90,0,1,0,0,0.018354,0,0.985,206.9,682945,250445
"2495",1411,90,1,1,0,0,0.034161,0,1.781,285.62,677336,256153
"2496",1701,90,0,0,0,0,0.103147,0,0.63,227.25,676030,245676
"2497",1950,105,0,0,0,0,0.01967,0,0.771,283.79,689666,253324
"2498",2150,119,1,1,0,0,0.015845,0,1.139,272,683024,263208
"2499",2200,97,0,1,0,0,0.016772,0,1.248,256.75,689289,249357
"2500",1400,109,0,0,0,0,0.029504,1,0.653,293.74,685290,254556
"2501",1985,120,0,0,0,0,0.029504,1,0.653,293.74,685290,254556
"2502",1562,114,1,1,0,0,0.006545,0,0.42,258.94,686306,256409
"2503",2182,110,1,1,0,0,0.051856,0,0.942,97.45,686487,235903
"2504",1895,105,1,0,0,0,0.013046,1,1.229,276.47,685735,253138
"2505",1800,114,0,0,0,0,0.010907,0,0.097,266.1,701606,247123
"2506",1975,126,1,1,0,0,0.022512,0,0.63,249.22,682527,255871
"2507",2415,111,1,1,0,0,0.026753,0,0.445,284.07,694111,235392
